class,cap-shape,cap-surface,cap-color,bruises,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color,population,habitat
e,b,s,w,t,l,f,c,b,k,e,c,s,s,w,w,p,w,o,p,n,n,m
p,x,y,n,t,?,f,c,n,k,e,e,s,s,w,w,p,w,o,p,n,v,u
p,x,s,w,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,k,v,u
e,b,y,y,t,a,f,c,b,w,e,c,s,s,w,w,p,w,o,p,k,s,m
e,f,f,g,f,n,f,w,b,n,t,e,s,s,w,w,p,w,o,e,n,a,g
e,b,?,w,t,a,f,c,b,w,e,c,?,s,w,w,p,w,o,p,n,n,g
e,x,s,y,t,l,f,c,b,k,?,c,s,s,w,w,p,w,o,?,k,n,g
e,x,y,n,t,a,f,?,b,p,e,r,s,y,w,w,p,w,?,p,k,y,p
e,s,f,g,f,n,f,c,n,k,e,e,s,s,w,w,p,w,o,p,n,v,u
e,b,y,y,t,a,f,c,b,k,e,c,s,s,?,w,p,w,o,p,n,s,m
e,b,s,y,t,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,s,m
e,?,y,y,t,l,f,c,b,g,e,c,s,s,w,w,p,w,o,?,n,?,?
e,?,y,w,t,l,f,c,b,?,e,c,s,s,w,w,p,w,o,p,n,s,g
e,f,s,n,f,n,f,w,b,k,t,e,s,s,w,w,p,w,?,e,k,a,g
e,x,s,?,t,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p,k,s,g
e,f,y,y,t,a,f,c,b,w,e,r,s,y,w,w,p,w,o,p,n,s,g
e,x,?,y,t,a,f,c,b,w,e,c,s,?,w,w,p,w,o,p,k,n,g
e,x,f,g,f,n,f,c,n,p,e,e,s,s,w,w,p,w,o,p,n,v,u
e,f,f,y,t,l,f,w,n,p,t,b,s,s,w,w,p,w,o,p,n,v,d
e,b,y,w,t,l,f,c,b,g,e,c,s,s,w,w,?,w,o,p,n,s,m
e,f,f,y,t,l,f,w,n,w,t,?,s,s,w,w,p,w,o,p,n,v,d
e,x,y,n,t,a,f,c,b,p,e,r,s,y,w,w,p,w,o,p,k,s,p
e,b,s,y,t,a,f,c,b,k,e,?,s,s,w,w,p,w,o,p,k,s,g
e,f,s,y,t,l,f,w,n,p,t,?,s,s,w,w,p,w,o,p,n,v,d
e,x,?,w,t,l,f,w,n,n,t,b,s,s,w,w,p,w,o,p,u,v,d
e,f,y,?,t,l,f,c,b,p,e,r,s,?,w,w,p,w,o,p,n,y,p
p,x,y,n,t,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p,n,v,?
e,f,y,n,t,a,f,c,b,n,e,r,?,y,w,w,p,w,o,p,n,y,g
e,x,s,n,f,n,f,w,b,k,t,e,f,s,w,w,p,w,o,e,n,s,g
p,x,y,w,t,p,f,c,n,?,e,e,s,?,w,w,p,?,o,p,k,s,g
e,f,f,g,f,n,f,c,n,n,e,e,s,s,w,w,p,w,o,p,n,?,u
e,x,f,?,f,n,f,w,b,n,t,e,s,s,w,w,p,w,o,e,n,s,g
e,x,y,y,t,l,f,c,b,w,e,r,s,y,w,w,p,w,o,p,k,s,g
e,x,s,n,f,n,f,w,b,k,t,e,s,s,w,w,p,w,o,e,k,s,g
e,b,s,w,t,a,f,c,b,w,e,c,s,s,w,w,p,w,o,p,k,s,g
e,x,s,w,t,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,s,g
e,f,y,n,t,l,f,c,b,w,e,r,s,y,w,w,p,w,o,p,k,y,g
e,s,f,n,f,n,f,c,n,n,e,e,s,s,w,w,p,w,o,p,n,v,u
e,x,f,n,?,n,f,c,n,n,e,e,s,s,w,w,p,w,o,p,?,y,u
e,b,s,w,t,l,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,s,g
e,x,y,y,t,a,f,c,b,g,e,c,s,s,w,?,p,w,o,p,k,s,g
e,x,y,y,t,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,n,m
e,x,s,n,f,n,f,w,b,n,t,e,s,s,?,w,p,w,o,e,n,a,g
e,?,s,w,t,a,f,c,b,g,e,c,?,s,w,w,p,w,o,p,n,s,g
e,f,y,n,t,l,f,?,b,p,e,r,s,y,w,w,p,w,o,p,n,s,g
?,x,s,y,t,a,f,c,b,n,e,c,s,?,w,w,p,w,o,p,k,n,g
e,b,s,w,t,a,f,c,b,g,e,c,s,s,w,?,p,w,o,?,n,s,g
?,x,y,w,?,?,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,s,g
e,x,f,n,f,n,f,w,b,p,t,e,f,s,?,w,p,w,o,e,k,s,g
?,b,s,y,?,l,?,c,b,n,e,c,s,s,w,w,p,w,o,p,k,?,g
e,f,y,y,t,l,f,c,b,w,e,r,s,y,w,w,p,w,o,?,n,s,g
e,x,y,y,t,a,f,c,b,n,e,r,s,y,w,w,p,w,o,p,k,y,p
e,b,y,w,t,?,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,n,g
e,x,y,y,?,a,f,c,b,n,e,c,s,s,w,w,p,w,o,p,k,n,m
e,x,y,y,t,a,f,c,b,w,e,r,s,y,w,w,p,w,?,p,n,y,g
e,b,y,w,t,?,f,c,b,?,e,c,s,s,w,w,p,w,o,p,k,s,m
e,b,y,w,t,a,f,c,b,g,e,c,s,s,w,?,p,w,o,p,n,s,m
e,x,s,y,t,a,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,n,m
e,x,s,y,t,l,f,c,b,w,e,c,s,s,w,w,p,w,o,p,k,n,g
e,s,?,g,f,n,f,c,n,g,e,e,s,s,w,w,p,w,o,p,k,y,u
?,x,f,w,t,?,f,w,n,?,t,b,s,s,w,w,p,w,o,p,u,v,d
e,x,s,y,t,a,f,c,b,n,e,c,s,s,w,w,p,w,o,p,k,n,m
p,x,y,w,t,p,f,c,n,?,e,e,?,s,w,w,p,w,o,p,n,v,u
e,x,y,y,t,l,f,c,b,p,e,r,s,y,w,w,p,w,o,p,n,s,?
e,s,f,g,f,n,f,c,n,p,e,e,s,s,w,w,p,w,?,p,n,y,u
e,x,y,y,t,l,f,c,?,w,e,r,s,y,w,w,p,w,o,p,k,y,g
e,x,s,y,t,l,f,w,n,p,t,b,s,s,w,w,p,w,o,p,u,v,d
e,s,f,n,f,n,f,c,n,k,e,e,s,s,w,w,p,w,o,p,n,y,u
p,x,s,w,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,k,v,g
e,x,y,w,t,a,f,c,?,g,e,c,s,s,w,w,p,w,o,p,n,n,m
?,f,?,n,t,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,k,v,g
e,f,s,g,f,n,f,w,b,k,t,e,s,s,w,w,p,w,?,e,n,a,g
e,x,?,y,t,?,f,?,b,g,e,?,s,s,w,w,p,w,o,p,n,s,m
e,x,s,w,?,n,f,w,b,n,t,e,?,f,w,w,p,w,o,e,k,s,g
?,b,s,y,t,a,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,n,g
e,f,f,g,f,n,f,w,b,h,t,e,s,s,w,w,p,w,o,e,n,a,g
e,x,s,w,t,l,f,?,b,n,e,?,s,s,w,w,p,w,o,p,k,n,g
e,b,s,w,t,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,s,m
e,b,s,w,t,l,f,c,b,w,e,?,s,s,w,w,p,w,?,p,?,s,g
e,b,y,w,t,l,f,c,?,w,e,c,s,s,?,w,p,w,o,p,n,s,m
e,f,s,?,t,l,f,w,n,w,t,b,s,s,w,w,p,w,o,p,u,v,d
e,x,y,y,t,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,s,m
e,f,s,w,t,a,f,w,n,p,t,b,s,s,w,w,p,w,o,p,n,v,d
p,x,y,w,t,p,f,c,n,w,e,?,s,s,w,w,p,w,o,p,n,v,u
e,?,f,w,t,l,f,w,n,w,t,b,s,s,?,w,p,w,o,?,n,v,d
e,x,y,?,t,a,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,s,g
p,x,s,n,t,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,n,v,g
e,b,s,y,t,l,f,c,b,w,e,c,s,s,w,?,p,w,o,p,n,n,g
e,x,y,n,t,?,f,c,b,w,e,r,s,y,w,w,p,w,o,p,k,y,?
e,b,y,y,t,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,n,m
e,s,f,n,f,n,f,c,n,k,e,e,s,s,w,w,p,w,o,p,n,v,u
e,f,y,n,t,a,?,c,b,w,e,r,s,y,w,w,?,w,o,p,k,y,p
e,x,y,y,t,a,f,?,b,k,e,c,s,s,w,w,p,w,o,p,k,n,g
e,x,f,?,f,n,f,w,b,k,t,e,f,f,w,w,p,w,o,e,k,s,g
e,f,f,w,f,n,f,w,b,k,t,e,s,f,w,w,p,w,o,e,n,a,g
e,x,y,y,t,l,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,?,m
e,b,s,y,?,l,?,c,b,k,e,c,s,s,w,w,p,w,o,p,?,n,g
e,b,y,w,t,a,f,c,b,g,e,c,s,s,w,w,p,w,?,p,k,n,m
e,x,y,w,t,a,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,s,?
e,x,?,n,f,n,f,w,b,p,?,e,f,s,?,w,p,w,o,e,n,a,g
e,x,y,?,t,?,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,s,g
e,s,?,n,f,n,f,c,n,k,e,e,s,s,w,w,p,w,o,p,k,v,u
e,x,s,w,t,a,f,w,n,w,t,b,s,s,w,w,p,w,o,p,u,v,d
e,x,y,n,t,l,f,c,b,w,e,r,s,y,w,w,p,w,o,p,k,s,g
e,b,y,y,?,a,f,c,b,k,e,c,s,s,w,w,p,w,o,p,n,n,?
e,x,y,w,t,a,f,c,b,k,e,c,s,s,w,?,p,w,o,p,n,n,g
e,b,y,w,t,a,f,c,b,n,e,c,s,s,w,w,p,w,o,p,k,s,m
e,b,s,y,t,a,f,c,b,g,e,c,s,s,w,?,p,w,o,p,k,?,g
e,b,s,y,t,l,?,c,b,?,e,c,s,s,w,w,p,w,o,p,k,s,?
e,b,y,y,t,a,f,c,b,n,e,c,s,s,w,w,p,w,o,p,k,n,g
?,x,f,n,f,n,f,c,n,k,e,e,s,s,w,?,?,w,o,p,n,y,u
e,f,y,n,t,l,f,c,b,n,?,r,s,y,w,w,p,w,o,p,n,y,g
e,x,y,w,t,a,f,c,?,k,e,c,s,s,w,w,p,w,o,p,n,s,g
e,f,?,y,t,l,f,c,b,w,e,r,s,y,w,w,p,w,o,p,n,y,p
e,b,s,w,t,a,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,s,g
e,b,s,w,t,a,f,c,b,w,e,c,s,s,w,w,p,w,?,p,k,s,m
e,x,y,n,t,l,f,c,b,w,e,r,s,y,w,w,p,w,o,p,k,y,g
e,b,s,w,t,a,f,c,?,k,e,c,s,s,w,w,p,w,?,?,k,s,g
e,x,f,g,f,n,f,c,n,g,e,e,s,s,w,w,p,w,o,p,n,y,u
e,b,s,y,t,l,f,c,b,k,e,c,s,s,w,w,p,?,o,p,n,s,g
e,x,f,y,t,l,f,w,n,n,t,b,s,s,w,w,p,w,?,p,u,v,d
e,b,y,y,t,a,f,?,b,w,e,c,s,s,w,w,p,w,o,p,k,s,?
e,?,y,y,t,l,f,c,b,p,e,r,s,y,w,w,p,w,?,p,n,s,g
e,b,y,w,t,l,f,c,b,w,e,c,s,s,w,w,p,w,o,p,k,n,m
e,b,y,w,t,a,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,n,m
e,?,y,y,t,?,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,s,g
e,x,?,y,t,l,f,c,b,g,e,?,s,s,w,w,p,w,o,p,n,n,m
e,b,s,y,t,l,f,c,b,g,e,c,s,s,w,w,p,w,?,p,n,n,g
p,x,y,w,t,p,f,c,n,p,?,e,s,s,w,w,p,w,o,p,n,v,u
e,s,f,n,f,n,f,?,n,g,?,e,s,s,w,w,p,w,o,p,n,?,u
e,f,f,n,f,n,f,c,n,g,e,e,s,s,w,w,p,w,o,p,k,v,u
e,x,s,y,t,a,f,c,?,g,e,c,s,s,w,w,p,w,o,p,n,s,m
e,f,y,n,t,a,f,c,b,p,e,r,s,y,w,w,p,w,o,p,k,s,p
p,x,y,w,?,p,f,c,n,k,e,e,s,s,w,?,p,w,o,p,?,s,g
?,b,s,w,t,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,s,m
e,f,f,g,f,n,f,c,n,p,e,e,s,s,w,w,p,w,o,p,k,v,?
e,b,y,y,t,l,f,c,b,g,e,c,s,s,w,w,p,w,?,p,?,n,g
e,x,y,n,t,a,f,c,b,w,e,r,s,y,w,w,p,w,o,p,n,y,p
e,x,f,w,f,n,f,w,b,p,t,e,s,f,w,w,p,?,o,e,k,s,g
e,x,s,w,t,l,f,w,n,w,t,b,s,s,w,w,p,w,o,p,n,v,d
e,b,s,w,t,l,f,c,?,w,e,c,s,s,w,w,?,w,o,p,n,s,m
e,f,s,?,?,a,f,w,n,w,t,b,s,?,w,w,p,w,o,p,n,v,d
e,x,s,y,t,a,f,c,b,k,e,c,s,s,w,w,p,w,o,p,n,n,m
e,f,?,g,f,n,f,c,n,g,?,e,s,s,w,w,p,w,o,p,n,y,u
e,b,s,y,t,a,f,c,b,n,e,c,s,s,w,w,?,w,o,p,k,s,g
e,x,s,?,t,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,n,m
e,x,y,w,t,?,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,s,m
e,f,s,w,t,a,f,w,n,n,t,b,s,s,w,w,p,w,o,p,n,v,?
e,x,y,y,t,?,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,s,g
e,b,s,w,t,l,f,c,b,w,e,c,s,s,w,w,p,w,o,p,k,s,g
e,x,s,w,t,a,f,c,b,g,e,c,s,s,w,w,p,?,o,p,k,n,g
e,x,f,w,f,n,f,w,b,h,t,e,f,s,w,w,p,w,o,e,k,s,g
e,f,y,n,t,l,f,?,b,n,e,r,s,y,w,w,p,w,o,p,k,y,p
p,x,s,w,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,n,v,u
e,b,s,w,t,a,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,n,g
e,b,s,w,t,a,f,c,b,k,e,c,s,?,w,w,p,w,o,p,k,s,m
e,b,y,w,t,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,n,?
e,b,y,w,t,a,f,c,b,w,e,c,s,?,w,w,p,w,o,p,k,n,g
e,x,s,y,t,a,f,c,b,w,e,c,s,s,w,w,p,w,o,p,k,s,g
e,?,s,w,t,l,f,c,b,w,e,c,s,s,w,w,p,w,o,p,k,n,m
e,x,f,y,t,a,f,w,n,n,t,?,s,s,w,w,p,w,o,p,n,v,d
e,x,f,g,f,n,f,c,n,n,e,e,s,s,w,w,p,w,o,p,?,y,u
e,f,y,y,t,a,f,?,b,n,e,r,s,y,w,w,p,w,o,p,?,s,g
e,b,s,w,t,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p,k,n,m
e,x,s,y,t,a,f,c,b,g,e,c,?,s,w,w,p,w,?,p,k,s,g
e,x,y,y,t,a,?,c,b,k,e,c,s,s,?,w,p,w,o,p,k,s,g
e,x,y,w,t,l,f,c,b,w,e,c,?,s,w,w,p,w,o,p,n,s,g
e,s,f,g,f,n,f,c,n,p,e,e,s,s,w,w,p,w,o,p,n,v,u
?,?,s,w,t,a,f,?,b,n,e,c,s,s,w,w,p,w,?,p,n,n,m
p,x,s,w,t,p,f,c,n,k,?,e,s,s,w,w,p,w,o,p,?,s,g
e,x,y,y,t,a,f,c,b,n,e,r,s,y,w,w,p,w,o,p,n,s,g
e,f,f,w,t,a,f,w,n,p,t,b,s,s,w,w,p,w,o,p,n,v,d
e,x,y,w,t,l,?,?,b,g,e,c,s,s,w,w,p,w,o,p,?,n,m
e,b,y,w,t,l,f,c,b,n,?,c,s,s,w,w,p,w,o,p,?,s,g
e,x,s,w,t,a,f,c,b,g,e,c,s,s,w,w,?,w,o,p,n,n,g
e,x,s,y,t,?,f,c,b,g,e,c,s,s,w,w,p,?,o,p,n,s,g
p,x,y,n,t,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,k,v,u
e,b,s,y,?,a,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,n,g
e,x,?,g,f,n,f,?,n,n,e,e,s,s,w,w,p,w,o,?,k,y,u
?,x,y,?,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,k,?,u
e,x,y,y,t,l,f,c,b,n,e,r,s,y,w,w,p,w,o,p,n,y,?
e,f,f,n,f,n,f,c,n,k,e,e,s,s,w,w,p,w,o,p,k,v,u
e,b,s,w,t,l,f,c,b,?,e,c,s,s,w,w,p,w,o,p,n,n,g
e,x,f,w,t,l,f,w,n,w,t,b,s,s,w,w,p,w,o,p,n,v,d
e,x,y,w,t,l,f,c,b,w,e,c,s,s,?,w,p,w,o,p,?,s,g
e,b,y,y,t,l,f,c,?,n,e,c,s,s,w,w,p,w,o,p,n,s,g
e,x,y,y,t,l,f,c,b,n,e,r,s,y,w,w,p,w,o,p,k,s,?
e,f,y,y,t,a,f,c,b,p,e,r,s,y,w,w,p,w,o,p,k,s,p
e,f,y,y,t,a,f,c,b,w,e,r,s,y,w,w,p,w,o,p,k,?,p
e,x,s,w,t,l,f,c,b,w,e,c,s,s,w,w,p,w,o,p,k,s,g
e,x,s,w,t,a,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,n,m
p,x,?,w,t,p,f,c,n,n,e,?,?,s,w,w,p,w,?,p,k,v,u
e,f,f,w,t,a,?,w,n,?,t,b,s,s,w,w,p,w,o,p,u,v,d
e,x,s,w,t,l,f,c,b,w,e,c,s,s,w,w,?,w,o,p,n,s,g
e,x,s,?,t,l,f,w,n,p,t,b,s,s,w,w,p,w,o,p,u,v,d
e,x,y,w,t,a,f,c,b,n,e,c,s,s,w,w,p,w,o,?,k,s,m
e,f,y,y,t,l,f,c,b,w,e,r,?,y,w,w,p,w,o,p,k,y,p
e,x,s,n,f,n,f,w,b,p,t,e,f,s,w,w,p,w,o,e,k,s,g
e,f,y,y,t,a,f,c,b,w,e,r,s,y,w,w,p,w,o,p,n,y,g
p,x,s,n,t,p,f,c,n,p,e,e,s,s,w,w,p,w,?,p,?,s,g
e,s,f,n,f,n,f,c,n,g,e,e,s,s,w,w,p,w,o,p,n,v,u
e,b,y,y,t,l,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,s,m
?,b,s,w,t,l,f,c,b,n,e,?,s,s,w,w,p,w,o,p,n,s,g
e,?,y,w,t,l,f,c,b,k,e,?,s,s,w,w,p,w,o,p,n,n,m
e,f,f,n,f,n,f,c,n,k,e,e,s,s,w,w,p,w,o,p,n,v,u
e,x,s,w,t,a,f,c,b,w,e,c,s,s,w,w,p,w,o,p,k,n,m
e,b,y,w,t,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p,?,n,g
e,b,y,w,t,a,f,?,b,g,e,c,s,s,w,w,p,w,o,p,n,n,m
e,f,y,n,t,l,f,c,b,w,e,r,s,?,w,w,p,w,o,p,n,s,g
p,x,y,w,t,p,f,c,n,k,e,e,s,s,w,w,p,?,o,p,k,v,g
e,x,s,w,t,a,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,n,g
e,x,y,w,t,?,f,c,b,n,e,c,s,s,?,?,p,w,o,p,n,s,m
e,f,f,w,t,l,f,w,n,w,t,b,s,s,w,w,p,?,o,p,u,v,d
e,f,f,g,f,n,f,c,n,g,e,e,s,s,w,w,?,w,o,p,k,v,u
e,f,s,g,f,n,f,w,b,?,t,e,s,?,w,w,p,w,o,e,k,a,g
e,x,y,?,t,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,s,?
e,?,s,w,t,a,f,c,b,k,e,c,s,s,w,w,p,w,?,p,n,s,m
p,f,y,n,t,p,f,c,n,?,e,e,s,s,w,w,p,w,o,p,k,s,u
e,x,s,w,t,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p,k,n,m
p,f,s,n,t,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p,k,?,u
e,x,y,w,t,l,f,c,b,k,e,c,s,s,w,?,p,w,o,?,?,s,g
e,?,y,y,t,a,f,c,b,k,e,c,s,s,w,w,p,w,o,p,n,n,m
?,f,y,y,t,?,f,c,b,n,e,r,?,y,w,w,p,w,o,p,n,s,p
e,x,y,n,t,a,f,c,b,w,e,r,?,y,w,w,p,w,o,p,n,s,p
e,f,y,n,t,a,f,c,b,w,e,r,s,y,w,w,p,w,o,p,n,y,g
e,x,y,w,t,a,?,c,b,w,e,c,s,s,w,w,p,w,o,p,n,n,m
e,f,f,n,f,n,f,w,b,h,t,e,s,s,w,w,p,w,o,e,k,s,g
e,x,s,y,t,l,f,c,b,k,e,c,s,s,w,w,p,w,o,p,n,n,m
p,x,y,w,t,p,f,c,?,w,e,e,s,s,w,w,p,w,o,p,?,s,g
e,b,y,y,t,a,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,?,m
e,s,f,?,f,n,f,c,n,p,e,e,s,s,w,w,p,w,o,p,n,v,u
e,x,s,y,t,l,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,s,m
e,b,y,w,t,l,f,?,b,n,e,c,s,s,w,w,p,?,o,p,k,n,m
?,f,y,n,t,a,f,c,b,?,e,r,s,y,w,w,p,w,o,p,k,?,g
e,b,y,y,t,a,f,c,b,g,e,?,s,s,w,w,p,w,o,?,k,s,m
e,b,y,w,t,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,s,g
e,x,y,n,t,l,f,c,b,n,?,r,s,y,w,w,p,w,o,p,n,y,p
e,?,f,g,f,n,f,c,n,?,e,e,s,s,w,w,p,w,o,p,n,y,u
e,x,f,g,f,n,f,c,n,g,e,?,s,s,w,w,p,w,o,p,k,y,u
e,b,y,y,t,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p,k,s,g
e,?,s,y,t,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p,k,s,m
e,b,y,w,t,l,f,c,b,?,?,c,s,s,w,w,p,w,o,p,n,s,g
e,?,s,w,t,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,s,m
e,b,s,y,t,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,n,m
e,?,s,?,t,a,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,?,m
e,x,f,g,f,n,?,w,b,p,t,e,f,f,w,w,p,w,o,e,k,s,g
